"word","word_count"
"722.",2
"The",750
"Monarch",3
"723.",2
"The",750
"Initiative",3
"724.",2
"Restarting",2
"Game",17
"725.",2
"Rad",4
"Counters",8
"726.",2
"Subgames",2
"727.",2
"Merging",2
"Permanents",9
"728.",2
"Day",5
"Night",3
"729.",2
"Taking",5
"Shortcuts",2
"730.",2
"Handling",6
"Illegal",15
"Actions",12
"8.",2
"Multiplayer",7
"Rules",24
"800.",2
"General",19
"801.",2
"Limited",11
"Range",11
"Influence",9
"Option",17
"802.",2
"Attack",16
"Multiple",45
"Players",27
"Option",17
"803.",2
"Attack",16
"Left",8
"Attack",16
"Right",8
"Options",2
"804.",2
"Deploy",3
"Creatures",14
"Option",17
"805.",2
"Shared",4
"Team",39
"Turns",12
"Option",17
"806.",2
"Free-for-All",14
"Variant",17
"807.",2
"Grand",15
"Melee",18
"Variant",17
"808.",2
"Team",39
"vs.",10
"Team",39
"Variant",17
"809.",2
"Emperor",22
"Variant",17
"810.",2
"Two-Headed",38
"Giant",59
"Variant",17
"811.",2
"Alternating",8
"Teams",11
"Variant",17
"9.",2
"Casual",2
"Variants",2
"900.",2
"General",19
"901.",2
"Planechase",33
"902.",2
"Vanguard",21
"903.",2
"Commander",57
"904.",2
"Archenemy",22
"905.",2
"Conspiracy",21
"Draft",19
"Glossary",2
"Credits",2
"1.",33
"Game",17
"Concepts",2
"100.",3
"General",19
"100.1.",1
"These",84
"Magic",89
"rules",305
"apply",116
"Magic",89
"game",484
"players,",18
"including",30
"two-player",18
"games",34
"multiplayer",93
"games.",8
"100.1a",1
"A",990
"two-player",18
"game",484
"game",484
"begins",18
"players.",46
"100.1b",1
"A",990
"multiplayer",93
"game",484
"game",484
"begins",18
"players.",46
"See",1025
"section",23
"8,",5
"“Multiplayer",2
"Rules.”",2
"100.2.",2
"To",157
"play,",10
"player",1827
"deck",137
"traditional",7
"Magic",89
"cards,",69
"items",2
"represent",23
"tokens",23
"counters,",20
"track",8
"life",161
"totals.",4
"100.2a",1
"In",212
"constructed",11
"play",73
"(a",34
"playing",27
"player",1827
"creates",66
"deck",137
"ahead",11
"time),",1
"deck",137
"minimum",9
"deck",137
"size",20
"60",3
"cards.",81
"A",990
"constructed",11
"deck",137
"basic",34
"land",136
"cards",605
"card",1217
"English",18
"basic",34
"land",136
"cards.",81
"For",74
"purposes",17
"deck",137
"construction,",4
"cards",605
"interchangeable",10
"names",25
"English",18
"(see",274
"rule",1655
"201.3).",3
"100.2b",2
"In",212
"limited",34
"play",73
"(a",34
"playing",27
"player",1827
"quantity",3
"unopened",4
"Magic",89
"product",4
"booster",22
"packs",11
"creates",66
